河南酒店源,#genre#
卫生健康,http://38.75.136.137:98/gslb/dsdqbv/wsjk.m3u8?auth=test20251009
兵器科技,http://38.75.136.137:98/gslb/dsdqbv/bqkj.m3u8?auth=test20251009
文化精品,http://38.75.136.137:98/gslb/dsdqbv/ysjp.m3u8?auth=test20251009
女性时尚,http://38.75.136.137:98/gslb/dsdqbv/nxss.m3u8?auth=test20251009
第一剧场,http://38.75.136.137:98/gslb/dsdqbv/dyjc.m3u8?auth=test20251009
怀旧剧场,http://38.75.136.137:98/gslb/dsdqbv/hjjc.m3u8?auth=test20251009
央视台球,http://38.75.136.137:98/gslb/dsdqbv/ystq.m3u8?auth=test20251009
高尔夫网球,http://38.75.136.137:98/gslb/dsdqbv/gefwq.m3u8?auth=test20251009
CETV1,http://38.75.136.137:98/gslb/dsdqbv/cetv1hd.m3u8?auth=test20251009
CETV2,http://38.75.136.137:98/gslb/dsdqbv/cetv2.m3u8?auth=test20251009
CETV3,http://38.75.136.137:98/gslb/dsdqbv/cetv3.m3u8?auth=test20251009
CETV4,http://38.75.136.137:98/gslb/dsdqbv/cetv4.m3u8?auth=test20251009

北京卫视,http://38.75.136.137:98/gslb/dsdqbv/bjwshd.m3u8?auth=test20251009
北京卫视,http://38.75.136.137:98/gslb/dsdqbv/bjwshd.m3u8?auth=test20251009
东方卫视,http://38.75.136.137:98/gslb/dsdqbv/dfwshd.m3u8?auth=test20251009
江苏卫视,http://38.75.136.137:98/gslb/dsdqbv/jswshd.m3u8?auth=test20251009
湖南卫视,http://38.75.136.137:98/gslb/dsdqbv/hnwshd.m3u8?auth=test20251009
湖南卫视,http://38.75.136.137:98/gslb/dsdqbv/hnwshd.m3u8?auth=test20251009
浙江卫视,http://38.75.136.137:98/gslb/dsdqbv/zjwshd.m3u8?auth=test20251009
浙江卫视,http://38.75.136.137:98/gslb/dsdqbv/dfwshd.m3u8?auth=test20251009
广东卫视,http://38.75.136.137:98/gslb/dsdqbv/gdwshd.m3u8?auth=test20251009
深圳卫视,http://38.75.136.137:98/gslb/dsdqbv/szwshd.m3u8?auth=test20251009
天津卫视,http://38.75.136.137:98/gslb/dsdqbv/tjwshd.m3u8?auth=test20251009
东南卫视,http://38.75.136.137:98/gslb/dsdqbv/dnwshd.m3u8?auth=test20251009
四川卫视,http://38.75.136.137:98/gslb/dsdqbv/scwshd.m3u8?auth=test20251009
重庆卫视,http://38.75.136.137:98/gslb/dsdqbv/cqwshd.m3u8?auth=test20251009
湖北卫视,http://38.75.136.137:98/gslb/dsdqbv/hbwshd.m3u8?auth=test20251009
安徽卫视,http://38.75.136.137:98/gslb/dsdqbv/ahwshd.m3u8?auth=test20251009
广西卫视,http://38.75.136.137:98/gslb/dsdqbv/gxwshd.m3u8?auth=test20251009
贵州卫视,http://38.75.136.137:98/gslb/dsdqbv/gzwshd.m3u8?auth=test20251009
